"STARTUP_ID","ORDER_ID","COUNTRY","REGION","PROFILE_CREATED","PROFILE_CREATION_DATE","CLOUD_USAGE","CLOUD","USAGE_COMPLETION_DATE","CASE_STUDY","CASE_STUDY_LAST_UPDATE_DATE","REF_ARCH","REF_ARCH_FILE_COUNT","REF_ARCH_WORKLOAD","REF_ARCH_COMMENTS","REF_ARCH_LAST_UPDATE_DATE","INTEGRATION_STRATEGY","IS_SOLUTION_FLAG","IS_SOLUTION","IS_INTEGRATION_FLAG","IS_DATE","ELEVATOR_PITCH","ELEVATOR_PITCH_LAST_UPDATE_DATE","VECTOR_LOGO","LOGO_FILE_COUNT","VECTOR_LOGO_LAST_UPDATE_DATE","PK_USAGE","PROMOTION_KIT_FLAG","MAIL_SENT","MAIL_SENT_DATE","NS_INTERNAL_ID","LAST_UPDATE_DATE","MC_COMPLETE_STATUS"
28059,11644,"United States of America","NAS","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,701103,01-JAN-70,"N"
5208,7624,"United States of America","NAS","Complete",05-FEB-21,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,398326,05-FEB-21,"N"
32329,12914,"India","JAPAC","Complete",27-JUN-22,2.973402542,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,913674,27-JUN-22,"N"
20938,8462,"Philippines","JAPAC","Incomplete",,0,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,487421,01-JAN-70,"N"
19594,7924,"India","JAPAC","Complete",09-MAR-21,0.003236525,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,412926,09-MAR-21,"N"
27534,11368,"United States of America","NAS","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,682921,01-JAN-70,"N"
20465,8290,"United States of America","NAS","Complete",27-APR-21,2612.99581624,"Complete",02-AUG-21,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,457741,04-AUG-21,"N"
4379,7113,"United States of America","NAS","Complete",23-NOV-20,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,340351,23-NOV-20,"N"
3772,6725,"United States of America","NAS","Complete",28-SEP-20,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,292244,28-SEP-20,"N"
3450,6503,"United Kingdom","EMEA","Complete",27-AUG-20,22425.4750379159,"Complete",21-OCT-20,"Complete",10-NOV-20,"Complete",1,"All-In Production Environment","User inputs data which is computed on Cloud VM, exporting data to become produced.",10-NOV-20,"Complete","No","","No",12-NOV-20,"Complete",12-NOV-20,"Complete",2,12-NOV-20,"Complete","No","Y",12-NOV-20,10502,12-NOV-20,"Y"
